age ht wt grmax
720 66 154.9 49.8 23
721 66 149.8 62 29
722 66 153.5 62.7 24
723 66 146.8 42.1 15
724 66 151.5 70.6 28
725 66 162.4 66.4 23
726 66 151.6 58.6 28
727 66 143.6 51.4 21
728 66 154.1 58.2 28
729 66 156.4 72 20
730 66 158.6 54.8 33
731 66 151.2 62.4 26
732 66 150.9 55.4 21
733 66 152.7 50.4 27
734 66 148.4 52.8 25
735 66 143.6 42 23
736 67 149.3 62.1 23
737 67 149.9 59.8 20
738 67 144.8 51.1 24
739 67 146.8 57.7 23
740 67 156 55.6 29
741 67 154.4 56.2 25
742 67 160.3 50.9 20
743 67 149.1 48.7 32
744 67 154.5 45.4 24
745 67 146.3 53.6 14
746 67 149 53.4 26
747 67 142.6 50.2 20
748 67 150.8 64.8 30
749 67 147.9 53.8 28
750 67 153.2 65.4 27
751 67 150.7 54 30
752 67 144 56.2 22
753 67 144.4 53 15
754 67 146 44.8 26
755 67 144.8 44 18
756 68 161.1 64.7 32
757 68 148 52 25
758 68 145.4 54.5 23
759 68 150.1 52.6 32
760 68 145.3 59.1 21
761 68 150.8 65 18
762 68 160.8 56 27
763 68 154.7 69.8 21
764 68 153.9 65.2 28
765 68 143.7 52.6 28
766 68 150.1 57.2 22
767 68 148.9 44.4 22
768 68 149.2 57 23
769 68 138.3 48.2 25
770 68 135.5 46 15
771 68 154.6 58.4 29
772 68 148.1 61.2 24
773 69 153.7 55.8 27
774 69 147.7 57.4 25
775 69 146 54.2 27
776 69 150.3 56.8 33
777 69 148.9 47.1 22
778 69 152.3 52.7 25
779 69 146.6 64 21
780 69 144.9 51.5 27
781 69 146.1 51 24
782 69 138.1 50 16
783 69 150.1 56 27
784 69 144.6 45.8 24
785 69 155.9 72.4 27
786 69 144.2 58 21
787 69 143.1 47.6 20
788 69 154.8 70.2 26
789 69 149.4 59.2 20
790 69 151.5 63 23
791 69 160.3 64.2 30
792 69 143.6 50 19
793 69 141.6 41.8 21
794 70 152.6 46.7 29
795 70 144.7 49.9 23
796 70 154.7 55.1 23
797 70 155.9 52.4 20
798 70 162.3 68.1 34
799 70 146 51.4 21
800 70 152.3 47 28
801 70 156.6 50.4 18
802 70 150 49 24
803 70 149.9 60.8 18
804 70 148.5 50 27
805 70 151.5 60.5 27
806 70 156.3 60 28
807 70 156.4 63 30
808 70 148 45.8 28
809 70 147.4 51 27
810 70 151.8 57.4 24
811 70 139.4 51 19
812 70 144.7 53.2 23
813 70 142.1 52.4 21
814 70 135 43.8 23
815 70 155.6 51.6 26
816 70 141.5 46.6 20
817 70 138.9 45.2 19
